,Words,Frequency
0,#babycornchilli,5
1,#yourfoodlab,10
2,#sanjyotkeer,10
3,#foodporn,15
4,#recipe,5
5,#weeklyrewind,5
6,#mutton,5
7,#pasta,5
8,#recipeoftheday,5
9,#indiancuisine,5
10,#foodie,20
11,#jaljeera,5
12,#yflapron,5
13,#HappyCookingToYou,5
14,#FoodFusion,10
15,#SummerDrinks,5
16,#InstaFood,5
17,#Foodstagram,5
18,#Foodfusion,5
19,#HealthyFusion,5
20,#Foodie,10
21,#Cooking,5
22,#DesiFood,5
23,#InstaFoodie,5
24,#FoodPhotography,5
25,#Recipe,5
26,#foodgram,10
27,#foodblogger,10
28,#recipevideo,15
29,#recipevideos,5
30,#quickrecipes,5
31,#summerDrinks,5
32,#pakistani,5
33,#HappyCookingToyou,5
34,#foodfusion,10
35,#araywahh,5
36,#desifood,10
37,#snacks,5
38,#pocketsnack,5
39,#musttry,5
40,#homemade,10
41,#foodinspiration,5
42,#instafood,5
43,#foodstagram,5
44,#foodphotography,10
45,#samosarecipe,5
46,#recipes,10
47,#foodfusionrecipe,10
48,#makeandfreeze,5
49,#daal,5
50,#samosa,5
51,#feastagram,5
52,#foodieincarnate,10
53,#reelkarofeelkaro,5
54,#reelitfeelit,5
55,#reelsinstagram,5
56,#reels,5
57,#chai,5
58,#chailover,5
59,#tea,5
60,#assam,5
61,#viralfood,5
62,#viralvideos,5
63,#explore,5
64,#sodelhi,5
65,#newdelhi,5
66,#foodtalkindia,5
67,#delhigram,5
68,#indianfood,5
69,#delhifoodblogger,5
70,#foodgasm,5
71,#foodpornshare,5
72,#foodlover,5
73,#foodiesofinstagram,5
74,#indianstreetfood,5
75,#streetfood,5
76,#delhistreetfood,5
77,#streetfoodindia,5
78,#mumbaistreetfood,5
79,#delhifoodie,5
80,#indianfoodie,5
81,#desikhana,5
82,#indianfoodblogger,5
83,#indianfoodbloggers,5
84,#delhifood,5
85,#mumbai,5
86,#delhi,5
87,#vegbiryani,5
88,#biryani,5
